Close,Adj Close
129.4100037,129.2169189
131.0099945,130.8145142
126.5999985,126.4111023
130.9199982,130.7246552
132.0500031,131.8529663
128.9799957,128.7875519
128.8000031,128.6078186
130.8899994,130.6947021
128.9100037,128.7176666
127.1399994,126.9502945
127.8300018,127.639267
132.0299988,131.8329926
136.8699951,136.6657715
139.0700073,138.8625031
142.9199982,142.7067566
143.1600037,142.9463959
142.0599976,141.8480377
137.0899963,136.8854523
131.9600067,131.7631073
134.1399994,133.9398499
134.9900055,134.7885895
133.9400024,133.7401581
137.3899994,137.1849976
136.7599945,136.7599945
136.9100037,136.9100037
136.0099945,136.0099945
135.3899994,135.3899994
135.1300049,135.1300049
135.3699951,135.3699951
133.1900024,133.1900024
130.8399963,130.8399963
129.7100067,129.7100067
129.8699951,129.8699951
126,126
125.8600006,125.8600006
125.3499985,125.3499985
120.9899979,120.9899979
121.2600021,121.2600021
127.7900009,127.7900009
125.1200027,125.1200027
122.0599976,122.0599976
120.1299973,120.1299973
121.4199982,121.4199982
116.3600006,116.3600006
121.0899963,121.0899963
119.9800034,119.9800034
121.9599991,121.9599991
121.0299988,121.0299988
123.9899979,123.9899979
125.5699997,125.5699997
124.7600021,124.7600021
120.5299988,120.5299988
119.9899979,119.9899979
123.3899994,123.3899994
122.5400009,122.5400009
120.0899963,120.0899963
120.5899963,120.5899963
121.2099991,121.2099991
121.3899994,121.3899994
119.9000015,119.9000015
122.1500015,122.1500015
123,123
